UserID,Date,Steps,Calories,Distance,ActiveMinutes,HeartRate,SleepHours,WaterIntake,WorkoutType
U001,2023-01-01,8500,320,6.2,45,72,7.5,2000,Running
U002,01/02/2023,10200,450,7.8,60,78,8,2500,Cycling
U003,2023-01-03,6800,280,5.1,35,68,,1800,Walking
U004,2023-01-04,12000,520,9.2,75,82,7,3000,Running
U005,01/05/2023,9500,380,7.0,50,75,7.2,2200,Swimming
U006,2023-01-06,7800,310,5.8,40,70,6.5,1900,Yoga
U007,2023-01-07,11200,480,8.5,65,80,8.0,2800,Cycling
U008,01/08/2023,8900,360,6.6,48,73,7.8,2100,Running
U009,2023-01-09,6500,270,4.9,32,67,6.0,1700,Walking
U010,2023-01-10,13500,580,10.5,85,85,8.5,3200,Running
U011,01/11/2023,9200,370,6.8,52,74,7.3,2300,Swimming
U012,2023-01-12,7500,300,5.5,38,69,6.8,1850,Yoga
U013,2023-01-13,10800,460,8.0,62,79,7.9,2700,Cycling
U014,01/14/2023,8200,340,6.1,46,71,7.1,2000,Running
U015,2023-01-15,5900,250,4.3,28,65,,1600,Walking
U016,2023-01-16,12500,540,9.8,72,83,8.2,2900,Running
U017,01/17/2023,9800,390,7.2,54,76,7.6,2400,Swimming
U018,2023-01-18,7200,290,5.3,36,68,6.3,1750,Yoga
U019,2023-01-19,11500,500,9.0,68,81,8.1,2900,Cycling
U020,01/20/2023,8700,355,6.4,49,72,7.4,2150,Running
