PropertyID,Address,City,State,ZipCode,Price,Bedrooms,Bathrooms,SqFt,YearBuilt,PropertyType,ListDate
P001,123 Main St,New York,NY,10001,750000,3,2,1800,1950,House,2023-01-15
P002,456 Oak Ave,Los Angeles,CA,90001,,4,3,2200,1985,Condo,01/20/2023
P003,789 Pine Rd,Chicago,IL,60601,450000,2,1,1200,1920,House,2023-01-22
P004,321 Elm Dr,Houston,TX,77001,325000,3,2,1600,1975,House,2023-02-01
P005,654 Maple Ln,Phoenix,AZ,85001,550000,4,2.5,2000,2000,Condo,02/15/2023
P006,987 Cedar St,Seattle,WA,98101,680000,2,2,1400,1995,Apartment,2023-02-20
P007,147 Birch Blvd,Boston,MA,02101,890000,5,3,2500,1960,House,03/01/2023
P008,258 Willow Way,Miami,FL,33101,420000,3,2,1700,1988,Condo,03/05/2023
P009,369 Aspen Ave,Denver,CO,80201,,4,3,2100,1992,House,2023-03-15
P010,741 Cherry Dr,Atlanta,GA,30301,380000,2,1.5,1300,1980,Apartment,03/20/2023
P011,852 Spruce Ln,Dallas,TX,75201,520000,3,2,1750,1985,House,04/01/2023
P012,963 Oak St,Philadelphia,PA,19101,475000,4,2.5,1900,1970,Condo,04/05/2023
P013,174 Pine Rd,Portland,OR,97201,595000,3,2,1650,1998,House,04/10/2023
P014,285 Elm Dr,San Diego,CA,92101,725000,4,3,2300,2005,Condo,04/15/2023
P015,396 Maple Ave,Minneapolis,MN,55401,410000,2,2,1500,1975,Apartment,04/20/2023
P016,407 Cedar Blvd,San Francisco,CA,94101,1250000,3,2,1800,1955,House,05/01/2023
P017,518 Birch Way,Austin,TX,78701,485000,4,2.5,2000,2000,House,05/05/2023
P018,629 Willow St,Nashville,TN,37201,,3,2,1700,1990,Condo,05/10/2023
P019,730 Aspen Dr,Charlotte,NC,28201,395000,2,1.5,1350,1982,Apartment,05/15/2023
P020,841 Cherry Ln,Phoenix,AZ,85001,575000,5,3,2400,2010,House,05/20/2023
